path,sha256,firstCommit,category,action,packaging,rationale,sourceEvidence
icon.png,b0f799018b4fb34349fad18ee8d6c42d497dcc56708432c9dac611b3184fc4ae,d5da692ecfb032aa46502c194bbd257584c07e70,asset-review,replace-or-source-via-client,source/build,Image from attributed native/Wiki archives or undocumented export; underlying game artwork may have separate rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/icon.png [exact SHA-256] ; https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/resources/com/dpscalc/icon.png [exact SHA-256]
runelite-plugin.properties,48d820d6aef3b4af560242495ff1f10a791e18c805ae698d3858e8703d1c8cf0,ee589e1a6dafe1f850f1d23a1b093258b30173b0,local-candidate,review-and-adapt,source/build,Local history; absence of an archive match is not proof of independent authorship.,
settings.gradle,058e687e84474b2648b9c21aea5ec42e55b27c5c221c54d822a45c25c744d490,ee589e1a6dafe1f850f1d23a1b093258b30173b0,local-candidate,review-and-adapt,source/build,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/DpsCalcConfig.java,c71b9f34f12fb1ccfec0d18961212f3f890f6798064639d5379d9b12dbfde937,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/DpsCalcConfig.java [same filename]
src/main/java/com/dpscalc/DpsCalcOverlay.java,3aa8c087afcd9ad0050cbf97424a7e3e5da9d5db4891ff3b318d558ca5a0c888,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/DpsCalcOverlay.java [same filename]
src/main/java/com/dpscalc/DpsCalcPlugin.java,fe7d03e652cb93b3ae037f43147c21c0611222651e5e7165be5d02d8cc4f285a,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/DpsCalcPlugin.java [same filename]
src/main/java/com/dpscalc/DpsComparison.java,73d3d427c280db4599228b16f2402b19a95b43ec8a16f9fc74bb350be2bc4242,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/DpsComparison.java [same filename]
src/main/java/com/dpscalc/DpsDiagnosticsFormatter.java,8ed7eda66f6ba90a41d2dc9f8dd7638b8bfa5ab9864f146d822c8847ec56919e,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/DpsDiagnosticsFormatter.java [exact SHA-256]
src/main/java/com/dpscalc/LiveMonsterContextProvider.java,009e606ede6a93efb74756a27f39e2bd1623753e57f5f9a9847637f3b25b14cd,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/LiveMonsterContextProvider.java [exact SHA-256]
src/main/java/com/dpscalc/calc/BaseCalc.java,b4f88d7649352f0f821506af904c0bfa603ebc61646295766cfb71294fd2377b,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/calc/BaseCalc.java [same filename]
src/main/java/com/dpscalc/calc/DpsCalculator.java,c5d22e71ed32b3d221cd78a70c8ac7f341a0ba5444e2dceaeedc76f21f1fa073,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/calc/DpsCalculator.java [same filename]
src/main/java/com/dpscalc/calc/DpsResult.java,c49b7c6296269490336dd9eb33f92321717312b185504e201ae786c652b5859e,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/calc/DpsResult.java [same filename]
src/main/java/com/dpscalc/calc/SyncVersion.java,0c5cae7cc0b0e99f5c5ff925510dbbe82e5f04049cd193188caeda5f790c33f1,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/calc/SyncVersion.java [same filename]
src/main/java/com/dpscalc/calc/distribution/AttackDistribution.java,30f9aaab1bdaf87a78cef736867bc6e7b3999d432b3c41758b953c08fa85a2c9,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/calc/distribution/AttackDistribution.java [exact SHA-256]
src/main/java/com/dpscalc/calc/distribution/HitDistribution.java,207e9267a4732af723ec4aad302dd4c9cb8ae353b617c96cc6d3a2eed74634f4,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/calc/distribution/HitDistribution.java [exact SHA-256]
src/main/java/com/dpscalc/calc/distribution/Hitsplat.java,fcefc5bd484129b70f8d874d13afdefb4f3c2727a94ffa463e59b2a573e6a090,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/calc/distribution/Hitsplat.java [exact SHA-256]
src/main/java/com/dpscalc/calc/distribution/WeightedHit.java,4e4a2e5b28723cd2ba6801f0b01a75c18e7f9bd4ff147cbf117560777d4e2e86,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/calc/distribution/WeightedHit.java [exact SHA-256]
src/main/java/com/dpscalc/combat/CombatTracker.java,7b1f75a64cf69629931ac583633c40d76b4ec3f24cb8601d324a89eb93638014,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/combat/CombatTracker.java [same filename]
src/main/java/com/dpscalc/data/MonsterAttribute.java,3742518b2137685a784f71fda2f206878fcda3dfe9460b9ae3c59c8a3e756175,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/data/MonsterAttribute.java [exact SHA-256]
src/main/java/com/dpscalc/data/MonsterCatalog.java,367ede8c0c5cc4e261fd0912ac4eac879bdff7a158e22b9aa457c4ce5d446e1e,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/data/MonsterCatalog.java [exact SHA-256]
src/main/java/com/dpscalc/data/MonsterConstants.java,8adfa600688e24e73259d4909c238852142ad22887c0c33c4755a6f489cc6000,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/data/MonsterConstants.java [exact SHA-256]
src/main/java/com/dpscalc/data/MonsterDataManager.java,116c8729e1c0f5bbbfb9bb56a3c2186cf08c30433d617583a706ae850108f040,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/data/MonsterDataManager.java [same filename]
src/main/java/com/dpscalc/data/MonsterDataProvenance.java,d17df2fd595c972c16ab01eed98d097b07bc0080ab0164e6b5cfe7dce6488c01,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/data/MonsterDataProvenance.java [exact SHA-256]
src/main/java/com/dpscalc/data/MonsterInputs.java,8ece4285f43ac1c3a11eacd8ed04b959d1794b08da6f1149b518afa75ed5b874,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/data/MonsterInputs.java [same filename]
src/main/java/com/dpscalc/data/MonsterScaling.java,24e8d8d663e030ac1cbd4f4a73a94e213d95258522428422f604d5b119f63585,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/data/MonsterScaling.java [exact SHA-256]
src/main/java/com/dpscalc/data/MonsterStats.java,b153cd1bc1d2aaefe4ac5672e19730218a689c5f6733f4f66c9a757a7fdd0d25,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/data/MonsterStats.java [same filename]
src/main/java/com/dpscalc/data/WeaknessElement.java,caf5fe4b6e5354ad150ca8d3a7c2dff886445b1e8e04c0632fa03dda09af0bb9,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/data/WeaknessElement.java [exact SHA-256]
src/main/java/com/dpscalc/equipment/AmmoApplicability.java,653d92bdc8d972e815e0e47cbbe6e76387a0d3b82596283ca18a0c8431dc5679,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/AmmoApplicability.java [exact SHA-256]
src/main/java/com/dpscalc/equipment/AmmoApplicabilityResult.java,5a56bfcc230e736c3945c78e6ea01e45eaa2e6677bdfad287d6542753e952091,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/AmmoApplicabilityResult.java [exact SHA-256]
src/main/java/com/dpscalc/equipment/EquipmentAttackSpeedCalculator.java,e1aa932a04ab548ddb5da3dded9084c31c9991501b02a87fe9d43a924ddf3f25,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/EquipmentAttackSpeedCalculator.java [same filename]
src/main/java/com/dpscalc/equipment/EquipmentCalculator.java,5e7b9fa5d8f0336fb806ef918b0c44a6209e5a0c8a9daf3f58c92db71c50fe00,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/EquipmentCalculator.java [exact SHA-256]
src/main/java/com/dpscalc/equipment/EquipmentCatalogItem.java,49a2112f6618da486397271d5ed7a3046658d6694ac3a736bc7e993cf18d4aa9,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/EquipmentCatalogItem.java [same filename]
src/main/java/com/dpscalc/equipment/EquipmentCombatStyle.java,9a1648d7ead0b1d445bcf08e4fe9a58115e2b5576e3bde2f6505062bee3c8da9,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/EquipmentCombatStyle.java [exact SHA-256]
src/main/java/com/dpscalc/equipment/EquipmentContext.java,8945172b0b5cd3d63003303bbcc313a5c82cc1eedad3e144e7adc704505fdc3c,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/EquipmentContext.java [exact SHA-256]
src/main/java/com/dpscalc/equipment/EquipmentDomainCatalog.java,d743d2e64058c992524596b9580b45a0dfaaff0ed0fb72596764e20bb5c1c350,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/EquipmentDomainCatalog.java [same filename]
src/main/java/com/dpscalc/equipment/EquipmentDomainException.java,67b27022e9b91d033d190a44c4a44ff5ef06b58a25c486211a5b6fabc636c050,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/EquipmentDomainException.java [exact SHA-256]
src/main/java/com/dpscalc/equipment/EquipmentItem.java,6bb494465cfc9f68238fab6fed2dfc1ba2ba9dace447d7ac132e156a93b30ae1,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/EquipmentItem.java [exact SHA-256]
src/main/java/com/dpscalc/equipment/EquipmentItemIdentity.java,362ce154c6591dcae39c5ad07c632bc16f08c4e1ebb75d8d9960e086aa61d9b5,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/EquipmentItemIdentity.java [same filename]
src/main/java/com/dpscalc/equipment/EquipmentLoadout.java,6e2e5e5a725d2f724cb9f160b93844367df10a0d48b278812bd6566ecc0d6b98,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/EquipmentLoadout.java [exact SHA-256]
src/main/java/com/dpscalc/equipment/EquipmentPreparationFacade.java,f264fa724abf8dffa4ab313a237aed6ec454e5ddf904715041ffc096f5327a99,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/EquipmentPreparationFacade.java [same filename]
src/main/java/com/dpscalc/equipment/EquipmentResult.java,b6c2f7e25e204b24b3e159aa4c9c9dcb4ce385bf10b601cbf1b806c7774908a8,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/EquipmentResult.java [exact SHA-256]
src/main/java/com/dpscalc/equipment/EquipmentSlot.java,0f573da3441949a1b53912af3a0d7998e44b01061d09c1519beddb915c195076,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/EquipmentSlot.java [exact SHA-256] ; https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/state/EquipmentSlot.java [same filename]
src/main/java/com/dpscalc/equipment/EquipmentStatTotals.java,add19f84d3b77c943cfbd4dded7a047e33fbac5a27699aad6ed339dbb006d298,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/EquipmentStatTotals.java [exact SHA-256]
src/main/java/com/dpscalc/equipment/ItemVariable.java,d1d18e4db39fbb0e5442239e6585baac5765e2ab8f55701fe50e901441b662bb,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/ItemVariable.java [exact SHA-256]
src/main/java/com/dpscalc/parity/ComparisonResult.java,9714dc92d0a6b9d4a80b48b56b70b648b0cfc61f4297328a592d62ad1052fe08,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/parity/ComparisonResult.java [exact SHA-256]
src/main/java/com/dpscalc/parity/ParityComparator.java,a286f937d30f265046216c0bda68875e606658eb06e320e067bd60e1cc1f8b5b,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/parity/ParityComparator.java [exact SHA-256]
src/main/java/com/dpscalc/parity/ParityOutput.java,d951aa02d9486c2d0c38914d657cd144c5b1882a3571d874e53035cbae2becc6,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/parity/ParityOutput.java [exact SHA-256]
src/main/java/com/dpscalc/scenario/BankCapture.java,2f26988c38b569bc5dfe6348165b320ea40555c69f94f8d5c38b6fb28ed83a99,10e45ea216379e6ea852be7726fa0d3f44caf2ac,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/BankLayoutPanel.java,1777a91ffaa74ecb2c2cc66941654c2e90e553ef328749fa03ee5f0ec82b2e49,41aee86f8324969b1563c4e7795fb201e5c77ffe,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/BankLayoutPlan.java,36af801ab69de04b64ae941c3ef573d2d8f952a17c61968fe20dba602b33f656,948742cd0026792e3150ed76f7b1ff20707a07ff,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/BankLayoutService.java,152625190548446a631fb6e740182d3df50654005011f4ccb80ad8213959b0af,948742cd0026792e3150ed76f7b1ff20707a07ff,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/BankLayoutWriter.java,5a6b49085a77d667156eb9e47da7eb1deaa58585395c5045f047d025ab881212,948742cd0026792e3150ed76f7b1ff20707a07ff,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/BankOptimizer.java,8c34cea2d1644261259b0422b730d676c11f7b2739d867a1414eebf076177e58,10e45ea216379e6ea852be7726fa0d3f44caf2ac,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/BankOptimizerPanel.java,71a22d0a3901375225d39b2b7b9890aff469dcc8fbf027ededd6103d37b17b0b,10e45ea216379e6ea852be7726fa0d3f44caf2ac,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/CalculationCoordinator.java,15c532c18bc9e22c3b9db313670c8e9513aad13fcae18cea775f414248b65ed5,97a12813a7ae84a440a1c1280a2c85260684a27c,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/CalculationInputs.java,1510c385b1588c0b61853e325b55371fce030b2c0d0be08a75dc9cea026fb990,97a12813a7ae84a440a1c1280a2c85260684a27c,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/CalculatorWorkspace.java,44787fc16ce8fcee208e084c2fa67c27baa8babcfb478a91bc7e7ba054a7a00b,adffe26ea95559551bf0b3a63bd38ae44adbbe07,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/CarryPlan.java,ad24105272cd8f472dfcde035ef63e2b303f3ac034d438c5fb3019ee43054368,948742cd0026792e3150ed76f7b1ff20707a07ff,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/CarryPlanPanel.java,4d4d25ef2a88cd9be9122968475462e784b6f7f39a1f6a6caa4a830d390c2fff,948742cd0026792e3150ed76f7b1ff20707a07ff,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/ComparisonTable.java,448d217216c658bf30207a4b650c021bfe67896f5b571d5412395050f0a4bbef,1c60510de26ec7ed238da2f1df14a699fbb8f4df,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
